source,target,source_UniProtKB-Swiss-Prot,target_UniProtKB-Swiss-Prot
ENSG00000034713,ENSG00000168397,P60520,Q9Y4P1
ENSG00000036257,ENSG00000146021,Q13618,Q9UH77
ENSG00000036257,ENSG00000160410,Q13618,Q8TBC3
ENSG00000039650,ENSG00000152422,Q96T60,Q13426
ENSG00000041357,ENSG00000101182,P25789,O14818
ENSG00000043143,ENSG00000111653,Q9NQC1,Q9UNL4
ENSG00000043462,ENSG00000100351,Q13094,O75791
ENSG00000043462,ENSG00000177885,Q13094,P62993
ENSG00000047579,ENSG00000104164,Q96EV8,Q9UL45
ENSG00000047579,ENSG00000143553,Q96EV8,O95295
ENSG00000047579,ENSG00000182636,Q96EV8,Q99608
ENSG00000047932,ENSG00000119729,Q9HD26,P17081
ENSG00000049245,ENSG00000103496,Q15836,Q12846
ENSG00000049245,ENSG00000111450,Q15836,P32856
ENSG00000049759,ENSG00000113369,Q96PU5,Q96B67
ENSG00000050748,ENSG00000115966,P45984,P15336
ENSG00000054116,ENSG00000167515,O43617,Q9UL33
ENSG00000054116,ENSG00000170043,O43617,Q9Y5R8
ENSG00000055332,ENSG00000180228,P19525,O75569
ENSG00000056558,ENSG00000056558,Q13077,Q13077
ENSG00000056558,ENSG00000127191,Q13077,Q12933
ENSG00000056558,ENSG00000137275,Q13077,Q13546
ENSG00000056972,ENSG00000175104,O43734,Q9Y4K3
ENSG00000057663,ENSG00000205356,Q9H1Y0,Q7Z6L1
ENSG00000063244,ENSG00000077312,P26368,P09012
ENSG00000063244,ENSG00000117360,P26368,O43395
ENSG00000063244,ENSG00000135250,P26368,P78362
ENSG00000063244,ENSG00000136450,P26368,Q07955
ENSG00000063244,ENSG00000160201,P26368,Q01081
ENSG00000063244,ENSG00000168066,P26368,Q15637
ENSG00000063244,ENSG00000179950,P26368,Q9UHX1
ENSG00000063244,ENSG00000275895,P26368,ENSG00000275895
ENSG00000063978,ENSG00000103275,P78317,P63279
ENSG00000063978,ENSG00000116030,P78317,P63165
ENSG00000065135,ENSG00000169220,P08754,O43566
ENSG00000065328,ENSG00000076003,Q7L590,Q14566
ENSG00000065427,ENSG00000106305,Q15046,Q13155
ENSG00000066136,ENSG00000120837,Q13952,P25208
ENSG00000066427,ENSG00000179262,P54252,P54725
ENSG00000067066,ENSG00000067066,P23497,P23497
ENSG00000067066,ENSG00000094916,P23497,P45973
ENSG00000067066,ENSG00000116030,P23497,P63165
ENSG00000067066,ENSG00000122565,P23497,Q13185
ENSG00000067066,ENSG00000188612,P23497,P61956
ENSG00000067560,ENSG00000141522,P61586,P52565
ENSG00000067560,ENSG00000175220,P61586,Q07960
ENSG00000067606,ENSG00000102981,Q05513,Q9NPB6
ENSG00000067606,ENSG00000124171,Q05513,Q9BYG5
ENSG00000067955,ENSG00000159216,Q13951,Q01196
ENSG00000068024,ENSG00000081189,P56524,Q06413
ENSG00000068024,ENSG00000108953,P56524,P62258
ENSG00000068024,ENSG00000164331,P56524,Q9H9E1
ENSG00000068028,ENSG00000104375,Q9NS23,Q13188
ENSG00000068394,ENSG00000137656,Q92917,Q9BRD0
ENSG00000069329,ENSG00000122958,Q96QK1,O75436
ENSG00000069667,ENSG00000087191,P35398,P62195
ENSG00000069956,ENSG00000089022,Q16659,Q8IW41
ENSG00000069974,ENSG00000102362,P51159,Q96C24
ENSG00000069974,ENSG00000142765,P51159,Q8IYJ3
ENSG00000070010,ENSG00000182446,Q92890,Q8TAT6
ENSG00000070423,ENSG00000109332,Q9BV68,P61077
ENSG00000070423,ENSG00000131508,Q9BV68,P62837
ENSG00000070423,ENSG00000204463,Q9BV68,P46379
ENSG00000070770,ENSG00000204435,P19784,P67870
ENSG00000070778,ENSG00000102010,Q16825,P51813
ENSG00000070831,ENSG00000101349,P60953,Q9P286
ENSG00000070831,ENSG00000124171,P60953,Q9BYG5
ENSG00000070831,ENSG00000128283,P60953,Q00587
ENSG00000070831,ENSG00000149798,P60953,O14613
ENSG00000070831,ENSG00000180370,P60953,Q13177
ENSG00000071051,ENSG00000198851,O43639,P07766
ENSG00000071539,ENSG00000071539,Q15645,Q15645
ENSG00000071539,ENSG00000124688,Q15645,Q15013
ENSG00000071564,ENSG00000117318,P15923,Q02535
ENSG00000071564,ENSG00000125968,P15923,P41134
ENSG00000072401,ENSG00000072609,P51668,Q96EP1
ENSG00000072401,ENSG00000080561,P51668,Q9UJV3
ENSG00000072401,ENSG00000101695,P51668,Q96EQ8
ENSG00000072401,ENSG00000101871,P51668,O15344
ENSG00000072401,ENSG00000101966,P51668,P98170
ENSG00000072401,ENSG00000121481,P51668,Q99496
ENSG00000072401,ENSG00000123091,P51668,Q9Y3C5
ENSG00000072401,ENSG00000157450,P51668,Q6ZNA4
ENSG00000072401,ENSG00000163481,P51668,Q96BH1
ENSG00000072401,ENSG00000167770,P51668,Q96FW1
ENSG00000072401,ENSG00000168894,P51668,Q9P0P0
ENSG00000072401,ENSG00000186187,P51668,Q8ND25
ENSG00000072401,ENSG00000204227,P51668,Q06587
ENSG00000072401,ENSG00000204599,P51668,Q9HCM9
ENSG00000072609,ENSG00000131508,Q96EP1,P62837
ENSG00000072832,ENSG00000092964,Q14194,Q16555
ENSG00000073111,ENSG00000076003,P49736,Q14566
ENSG00000074201,ENSG00000100028,P54105,P62318
ENSG00000074201,ENSG00000125743,P54105,P62316
ENSG00000074201,ENSG00000125835,P54105,P14678
ENSG00000074201,ENSG00000167088,P54105,P62314
ENSG00000074219,ENSG00000137693,Q15562,P46937
ENSG00000074266,ENSG00000106462,O75530,Q15910
ENSG00000074266,ENSG00000108799,O75530,Q92800
ENSG00000074319,ENSG00000102858,Q99816,O60291
ENSG00000074319,ENSG00000138180,Q99816,Q53EZ4
ENSG00000074319,ENSG00000139722,Q99816,Q9H9H4
ENSG00000074319,ENSG00000148356,Q99816,Q6UWE0
ENSG00000074319,ENSG00000155975,Q99816,Q8NEZ2
ENSG00000074319,ENSG00000160948,Q99816,Q9UK41
ENSG00000074319,ENSG00000167987,Q99816,A5D8V6
ENSG00000074319,ENSG00000185359,Q99816,O14964
ENSG00000074706,ENSG00000100055,Q8WWN9,Q9UIA0
ENSG00000074706,ENSG00000105443,Q8WWN9,Q99418
ENSG00000074706,ENSG00000108669,Q8WWN9,Q15438
ENSG00000075142,ENSG00000075142,P30626,P30626
ENSG00000075426,ENSG00000177606,P15408,P05412
ENSG00000076003,ENSG00000076003,Q14566,Q14566
ENSG00000076242,ENSG00000129071,P40692,O95243
ENSG00000076604,ENSG00000158517,Q9BUZ4,P14598
ENSG00000076604,ENSG00000165916,Q9BUZ4,P17980
ENSG00000076924,ENSG00000084072,Q9HCS7,Q9UNP9
ENSG00000076924,ENSG00000240682,Q9HCS7,Q9ULR0
ENSG00000077092,ENSG00000143171,P10826,P48443
ENSG00000077312,ENSG00000077312,P09012,P09012
ENSG00000077348,ENSG00000120699,Q9NQT4,Q96B26
ENSG00000077348,ENSG00000171311,Q9NQT4,Q9Y3B2
ENSG00000078043,ENSG00000103275,O75928,P63279
ENSG00000078043,ENSG00000116030,O75928,P63165
ENSG00000078061,ENSG00000126934,P10398,P36507
ENSG00000078140,ENSG00000134758,P61086,Q8WVD3
ENSG00000078140,ENSG00000136536,P61086,Q9H992
ENSG00000078674,ENSG00000112877,Q15154,Q9P209
ENSG00000078814,ENSG00000115593,A7E2Y1,Q8NB12
ENSG00000078902,ENSG00000100284,Q9H0E2,O60784
ENSG00000078902,ENSG00000141198,Q9H0E2,O75674
ENSG00000078902,ENSG00000175662,Q9H0E2,Q6ZVM7
ENSG00000078967,ENSG00000080561,Q9Y2X8,Q9UJV3
ENSG00000078967,ENSG00000101871,Q9Y2X8,O15344
ENSG00000078967,ENSG00000123091,Q9Y2X8,Q9Y3C5
ENSG00000078967,ENSG00000165886,Q9Y2X8,Q9HAC8
ENSG00000078967,ENSG00000186187,Q9Y2X8,Q8ND25
ENSG00000079102,ENSG00000111676,Q06455,P54259
ENSG00000079246,ENSG00000196419,P13010,P12956
ENSG00000079277,ENSG00000100030,Q9BUB5,P28482
ENSG00000079387,ENSG00000116030,Q9P0U3,P63165
ENSG00000079387,ENSG00000188612,Q9P0U3,P61956
ENSG00000079999,ENSG00000161011,Q14145,Q13501
ENSG00000079999,ENSG00000187514,Q14145,P06454
ENSG00000080561,ENSG00000080561,Q9UJV3,Q9UJV3
ENSG00000080561,ENSG00000101871,Q9UJV3,O15344
ENSG00000080561,ENSG00000109332,Q9UJV3,P61077
ENSG00000080561,ENSG00000131508,Q9UJV3,P62837
ENSG00000080986,ENSG00000080986,O14777,O14777
ENSG00000082512,ENSG00000082512,O00463,O00463
ENSG00000082512,ENSG00000131323,O00463,Q13114
ENSG00000083838,ENSG00000186812,Q9NWS9,Q8NF99
ENSG00000084652,ENSG00000106089,P40222,Q16623
ENSG00000084734,ENSG00000106633,ENSG00000084734,P35557
ENSG00000086548,ENSG00000086548,P40199,P40199
ENSG00000086666,ENSG00000127191,Q6FIF0,Q12933
ENSG00000087077,ENSG00000111859,Q15654,Q14511
ENSG00000087077,ENSG00000162409,Q15654,P54646
ENSG00000087086,ENSG00000087086,P02792,P02792
ENSG00000087266,ENSG00000136279,P78314,Q9UJU6
ENSG00000087338,ENSG00000215269,Q96IK5,P0CL81
ENSG00000087338,ENSG00000236362,Q96IK5,P0CL80
ENSG00000087365,ENSG00000143368,Q13435,Q15427
ENSG00000088727,ENSG00000198890,Q9HAQ2,Q96LA8
ENSG00000088808,ENSG00000172531,Q96KQ4,P62136
ENSG00000088833,ENSG00000165280,Q9UNZ2,P55072
ENSG00000089289,ENSG00000101871,P78318,O15344
ENSG00000089289,ENSG00000113575,P78318,P67775
ENSG00000089289,ENSG00000119414,P78318,O00743
ENSG00000089289,ENSG00000149923,P78318,P60510
ENSG00000089723,ENSG00000175104,Q96DC9,Q9Y4K3
ENSG00000090989,ENSG00000112685,Q9NV70,Q96KP1
ENSG00000091140,ENSG00000110435,P09622,O00330
ENSG00000092010,ENSG00000092010,Q06323,Q06323
ENSG00000092199,ENSG00000092199,P07910,P07910
ENSG00000092200,ENSG00000156313,Q96KN7,Q92834
ENSG00000092208,ENSG00000139343,O14893,P62306
ENSG00000092208,ENSG00000172062,O14893,Q16637
ENSG00000092208,ENSG00000205571,O14893,Q16637
ENSG00000092330,ENSG00000102977,Q9BSI4,Q96AP0
ENSG00000092531,ENSG00000135604,O00161,O75558
ENSG00000094916,ENSG00000101945,P45973,O43463
ENSG00000094916,ENSG00000121931,P45973,Q5T3J3
ENSG00000095059,ENSG00000102882,P49366,P27361
ENSG00000095066,ENSG00000166971,Q96ED9,Q9H8T0
ENSG00000095139,ENSG00000129083,P48444,P53618
ENSG00000095951,ENSG00000124788,P15822,P54253
ENSG00000096060,ENSG00000197771,Q13451,Q9BTE3
ENSG00000096384,ENSG00000106993,P08238,Q7L3B6
ENSG00000096384,ENSG00000110172,P08238,Q9UHD1
ENSG00000097033,ENSG00000097033,Q9Y371,Q9Y371
ENSG00000097033,ENSG00000109854,Q9Y371,Q9BUP3
ENSG00000097033,ENSG00000148341,Q9Y371,Q9NR46
ENSG00000099940,ENSG00000110047,O95721,Q9H4M9
ENSG00000099940,ENSG00000117758,O95721,Q86Y82
ENSG00000099940,ENSG00000166900,O95721,Q13277
ENSG00000100028,ENSG00000170860,P62318,P62310
ENSG00000100030,ENSG00000153233,P28482,Q15256
ENSG00000100030,ENSG00000162734,P28482,Q15121
ENSG00000100201,ENSG00000168066,Q92841,Q15637
ENSG00000100225,ENSG00000125818,Q9Y3I1,Q92530
ENSG00000100266,ENSG00000100266,Q9UNF0,Q9UNF0
ENSG00000100266,ENSG00000124507,Q9UNF0,Q9BY11
ENSG00000100266,ENSG00000165912,Q9UNF0,Q9UKS6
ENSG00000100280,ENSG00000137177,Q10567,Q9H1H9
ENSG00000100290,ENSG00000129473,Q13323,Q92843
ENSG00000100290,ENSG00000171552,Q13323,Q07817
ENSG00000100290,ENSG00000171791,Q13323,P10415
ENSG00000100320,ENSG00000124788,O43251,P54253
ENSG00000100351,ENSG00000124356,O75791,O95630
ENSG00000100351,ENSG00000141441,O75791,Q9H706
ENSG00000100387,ENSG00000108094,P62877,Q13617
ENSG00000100387,ENSG00000130725,P62877,P61081
ENSG00000100387,ENSG00000174842,P62877,Q92990
ENSG00000100567,ENSG00000100902,P25788,P60900
ENSG00000100567,ENSG00000129084,P25788,P25786
ENSG00000100644,ENSG00000133794,Q16665,O00327
ENSG00000100865,ENSG00000164053,Q9BW66,Q8WXE1
ENSG00000101017,ENSG00000127191,P25942,Q12933
ENSG00000101197,ENSG00000110330,Q96CA5,Q13490
ENSG00000101197,ENSG00000132906,Q96CA5,P55211
ENSG00000101255,ENSG00000128272,Q96RU7,P18848
ENSG00000101266,ENSG00000204435,P68400,P67870
ENSG00000101460,ENSG00000161011,Q9H492,Q13501
ENSG00000101460,ENSG00000168397,Q9H492,Q9Y4P1
ENSG00000101746,ENSG00000159692,O94818,Q13363
ENSG00000101773,ENSG00000103479,Q99708,Q08999
ENSG00000101773,ENSG00000143013,Q99708,P61968
ENSG00000101871,ENSG00000101871,O15344,O15344
ENSG00000101871,ENSG00000109332,O15344,P61077
ENSG00000101871,ENSG00000131508,O15344,P62837
ENSG00000101871,ENSG00000170035,O15344,Q969T4
ENSG00000101871,ENSG00000182247,O15344,Q96LR5
ENSG00000101966,ENSG00000101966,P98170,P98170
ENSG00000101966,ENSG00000132906,P98170,P55211
ENSG00000102010,ENSG00000168610,P51813,P40763
ENSG00000102081,ENSG00000114416,Q06787,P51114
ENSG00000102081,ENSG00000129245,Q06787,P51116
ENSG00000102119,ENSG00000175334,P50402,O75531
ENSG00000102178,ENSG00000104969,P11441,O43765
ENSG00000102572,ENSG00000114209,Q9Y6E0,Q9BUL8
ENSG00000102871,ENSG00000127191,Q15628,Q12933
ENSG00000102871,ENSG00000168040,Q15628,Q13158
ENSG00000102882,ENSG00000162734,P27361,Q15121
ENSG00000102898,ENSG00000132341,P61970,P62826
ENSG00000102931,ENSG00000138175,Q9Y2Y0,P36405
ENSG00000102931,ENSG00000213465,Q9Y2Y0,P36404
ENSG00000102977,ENSG00000128513,Q96AP0,Q9NUX5
ENSG00000102981,ENSG00000163558,Q9NPB6,P41743
ENSG00000103043,ENSG00000112367,Q08AM6,Q92562
ENSG00000103275,ENSG00000109906,P63279,Q05516
ENSG00000103275,ENSG00000112200,P63279,Q9Y4E5
ENSG00000103275,ENSG00000116030,P63279,P63165
ENSG00000103275,ENSG00000131323,P63279,Q13114
ENSG00000103275,ENSG00000141646,P63279,Q13485
ENSG00000103275,ENSG00000157450,P63279,Q6ZNA4
ENSG00000103275,ENSG00000160200,P63279,P35520
ENSG00000103275,ENSG00000182568,P63279,Q01826
ENSG00000103275,ENSG00000274276,P63279,ENSG00000274276
ENSG00000103275,ENSG00000276644,P63279,Q9UI36
ENSG00000103343,ENSG00000140987,Q15697,Q9NX65
ENSG00000103363,ENSG00000154582,Q15370,Q15369
ENSG00000103490,ENSG00000103490,Q9ULZ3,Q9ULZ3
ENSG00000103496,ENSG00000220205,Q12846,P63027
ENSG00000103769,ENSG00000107560,P62491,Q7L804
ENSG00000103769,ENSG00000167306,P62491,Q9ULV0
ENSG00000104147,ENSG00000159055,O43482,Q9NYP9
ENSG00000104164,ENSG00000104164,Q9UL45,Q9UL45
ENSG00000104164,ENSG00000135441,Q9UL45,P78537
ENSG00000104375,ENSG00000151748,Q13188,Q9H4B6
ENSG00000104388,ENSG00000167110,P61019,Q08379
ENSG00000104529,ENSG00000196470,P29692,Q8IUQ4
ENSG00000104529,ENSG00000254772,P29692,P26641
ENSG00000104765,ENSG00000104765,O60238,O60238
ENSG00000104765,ENSG00000176171,O60238,Q12983
ENSG00000104812,ENSG00000163754,P13807,P46976
ENSG00000104852,ENSG00000176444,P08621,P49760
ENSG00000104946,ENSG00000123240,Q9HA65,Q96CV9
ENSG00000104969,ENSG00000118785,O43765,P10451
ENSG00000104969,ENSG00000204463,O43765,P46379
ENSG00000105204,ENSG00000135451,Q9Y463,Q12815
ENSG00000105221,ENSG00000154447,P31751,Q7Z6J0
ENSG00000105401,ENSG00000161011,Q16543,Q13501
ENSG00000105404,ENSG00000105404,Q9UI14,Q9UI14
ENSG00000105568,ENSG00000112640,P30153,Q14738
ENSG00000105810,ENSG00000112576,Q00534,P30281
ENSG00000105810,ENSG00000123080,Q00534,P42773
ENSG00000105810,ENSG00000129355,Q00534,P55273
ENSG00000105810,ENSG00000147883,Q00534,P42772
ENSG00000106052,ENSG00000118503,Q86VP1,P21580
ENSG00000106052,ENSG00000150991,Q86VP1,P0CG48
ENSG00000106052,ENSG00000197769,Q86VP1,Q9BXW4
ENSG00000106070,ENSG00000106070,Q13322,Q13322
ENSG00000106089,ENSG00000106089,Q16623,Q16623
ENSG00000106089,ENSG00000139190,Q16623,P23763
ENSG00000106089,ENSG00000220205,Q16623,P63027
ENSG00000106144,ENSG00000106144,P42575,P42575
ENSG00000106144,ENSG00000169372,P42575,P78560
ENSG00000106299,ENSG00000115935,O00401,O43516
ENSG00000106299,ENSG00000158092,O00401,P16333
ENSG00000106299,ENSG00000177885,O00401,P62993
ENSG00000106355,ENSG00000130332,Q9Y4Y9,Q9UK45
ENSG00000106355,ENSG00000139343,Q9Y4Y9,P62306
ENSG00000106355,ENSG00000164167,Q9Y4Y9,P62312
ENSG00000106588,ENSG00000129084,P25787,P25786
ENSG00000107175,ENSG00000107175,O43889,O43889
ENSG00000107262,ENSG00000109971,Q99933,P11142
ENSG00000107295,ENSG00000141985,Q99962,Q99961
ENSG00000107404,ENSG00000161202,O14640,Q92997
ENSG00000107560,ENSG00000107560,Q7L804,Q7L804
ENSG00000107560,ENSG00000132698,Q7L804,P57735
ENSG00000107560,ENSG00000185236,Q7L804,Q15907
ENSG00000107882,ENSG00000111087,Q9UMX1,P08151
ENSG00000107929,ENSG00000204628,Q92615,P63244
ENSG00000108309,ENSG00000125249,Q59EK9,P10114
ENSG00000108344,ENSG00000127922,O43242,P60896
ENSG00000108344,ENSG00000127922,O43242,Q6ZVN7
ENSG00000108349,ENSG00000141543,O15234,P38919
ENSG00000108433,ENSG00000162236,O14653,Q13190
ENSG00000108599,ENSG00000108946,O43572,P10644
ENSG00000108669,ENSG00000115165,Q15438,O60759
ENSG00000108671,ENSG00000131791,O00231,O43741
ENSG00000108854,ENSG00000166949,Q9HAU4,P84022
ENSG00000108854,ENSG00000170365,Q9HAU4,Q15797
ENSG00000108946,ENSG00000188191,P10644,P31321
ENSG00000109079,ENSG00000110906,Q13829,Q9H3F6
ENSG00000109103,ENSG00000138175,Q13432,P36405
ENSG00000109103,ENSG00000213465,Q13432,P36404
ENSG00000109270,ENSG00000116586,Q9UHA4,Q9Y2Q5
ENSG00000109332,ENSG00000121481,P61077,Q99496
ENSG00000109332,ENSG00000157450,P61077,Q6ZNA4
ENSG00000109332,ENSG00000163481,P61077,Q96BH1
ENSG00000109332,ENSG00000165886,P61077,Q9HAC8
ENSG00000109332,ENSG00000167770,P61077,Q96FW1
ENSG00000109332,ENSG00000204308,P61077,Q99942
ENSG00000109606,ENSG00000134453,O43143,Q96I25
ENSG00000109787,ENSG00000175029,P57682,P56545
ENSG00000109787,ENSG00000183386,P57682,Q13643
ENSG00000109819,ENSG00000173153,Q9UBK2,P11474
ENSG00000109819,ENSG00000196482,Q9UBK2,P62508
ENSG00000109846,ENSG00000109846,P02511,P02511
ENSG00000109846,ENSG00000160202,P02511,P02489
ENSG00000109906,ENSG00000109906,Q05516,Q05516
ENSG00000109906,ENSG00000134248,Q05516,O43504
ENSG00000109971,ENSG00000133265,P11142,Q9NZL4
ENSG00000109971,ENSG00000151929,P11142,O95817
ENSG00000110047,ENSG00000110047,Q9H4M9,Q9H4M9
ENSG00000110092,ENSG00000124762,P24385,P38936
ENSG00000110092,ENSG00000135446,P24385,P11802
ENSG00000110107,ENSG00000182473,Q9UMS4,Q9UPT5
ENSG00000110330,ENSG00000127191,Q13490,Q12933
ENSG00000110330,ENSG00000132906,Q13490,P55211
ENSG00000110768,ENSG00000153767,P32780,P29083
ENSG00000110887,ENSG00000131791,P14920,O43741
ENSG00000110925,ENSG00000172531,Q9H175,P62136
ENSG00000111057,ENSG00000170421,P05783,P05787
ENSG00000111218,ENSG00000111218,Q9NR22,Q9NR22
ENSG00000111218,ENSG00000126457,Q9NR22,Q99873
ENSG00000111218,ENSG00000135316,Q9NR22,O60506
ENSG00000111229,ENSG00000241553,O15145,P59998
ENSG00000111237,ENSG00000131374,Q9UBQ0,Q92609
ENSG00000111424,ENSG00000143171,P11473,P48443
ENSG00000111640,ENSG00000111640,P04406,P04406
ENSG00000111725,ENSG00000181929,Q9Y478,P54619
ENSG00000111752,ENSG00000134686,P78364,Q8IXK0
ENSG00000111752,ENSG00000277258,P78364,P35227
ENSG00000111875,ENSG00000198586,Q9Y294,Q9UKI8
ENSG00000112029,ENSG00000113558,Q9UKT4,P63208
ENSG00000112208,ENSG00000112208,O95816,O95816
ENSG00000112237,ENSG00000132964,P24863,P49336
ENSG00000112531,ENSG00000157110,Q96PU8,Q93062
ENSG00000112531,ENSG00000165119,Q96PU8,P61978
ENSG00000112576,ENSG00000124762,P30281,P38936
ENSG00000112576,ENSG00000135446,P30281,P11802
ENSG00000112576,ENSG00000143320,P30281,P29373
ENSG00000113141,ENSG00000122692,Q13123,Q2TAY7
ENSG00000113318,ENSG00000132646,P20585,P12004
ENSG00000113328,ENSG00000145901,P51959,Q15025
ENSG00000113369,ENSG00000198373,Q96B67,O00308
ENSG00000113387,ENSG00000113387,P53999,P53999
ENSG00000113558,ENSG00000116661,P63208,Q9UK22
ENSG00000113558,ENSG00000132879,P63208,Q9H4M3
ENSG00000113558,ENSG00000135722,P63208,Q96CD0
ENSG00000113558,ENSG00000151876,P63208,Q9UKT5
ENSG00000113558,ENSG00000153558,P63208,Q9UKC9
ENSG00000113558,ENSG00000177051,P63208,Q6PJ61
ENSG00000113558,ENSG00000197361,P63208,Q6P050
ENSG00000113595,ENSG00000113595,P36406,P36406
ENSG00000113643,ENSG00000164022,P54136,Q12904
ENSG00000113916,ENSG00000113916,P41182,P41182
ENSG00000113916,ENSG00000161940,P41182,Q8N143
ENSG00000114126,ENSG00000205250,Q14188,Q16254
ENSG00000114209,ENSG00000115694,Q9BUL8,O00506
ENSG00000114423,ENSG00000147010,Q13191,Q96B97
ENSG00000114423,ENSG00000177885,Q13191,P62993
ENSG00000114854,ENSG00000159173,P63316,P19237
ENSG00000114942,ENSG00000254772,P24534,P26641
ENSG00000115145,ENSG00000124356,O75886,O95630
ENSG00000115289,ENSG00000121481,Q9BSM1,Q99496
ENSG00000115561,ENSG00000124356,Q9Y3E7,O95630
ENSG00000115685,ENSG00000213639,Q15435,P62140
ENSG00000115694,ENSG00000167110,O00506,Q08379
ENSG00000115806,ENSG00000167110,Q9H8Y8,Q08379
ENSG00000115966,ENSG00000170345,P15336,P01100
ENSG00000116016,ENSG00000133794,Q99814,O00327
ENSG00000116030,ENSG00000126261,P63165,Q9UBT2
ENSG00000116030,ENSG00000174460,P63165,Q6PEW1
ENSG00000116044,ENSG00000197063,Q16236,O15525
ENSG00000116044,ENSG00000198517,Q16236,O60675
ENSG00000116285,ENSG00000177885,Q9UJM3,P62993
ENSG00000116701,ENSG00000158517,P19878,P14598
ENSG00000116750,ENSG00000130706,Q9Y5K5,Q16186
ENSG00000116750,ENSG00000170322,Q9Y5K5,Q6P4R8
ENSG00000116903,ENSG00000181404,Q8IYI6,A8K0Z3
ENSG00000116918,ENSG00000211460,Q99598,Q15631
ENSG00000116954,ENSG00000155876,Q9HB90,Q7L523
ENSG00000116977,ENSG00000136436,O00214,Q13137
ENSG00000117155,ENSG00000241476,Q9Y2D8,Q16385
ENSG00000117155,ENSG00000268447,Q9Y2D8,Q16385
ENSG00000117222,ENSG00000129691,Q15291,Q9UBL3
ENSG00000117318,ENSG00000196628,Q02535,P15884
ENSG00000117461,ENSG00000169398,Q92569,Q05397
ENSG00000117560,ENSG00000158092,P48023,P16333
ENSG00000117748,ENSG00000132383,P15927,P27694
ENSG00000117748,ENSG00000136936,P15927,P23025
ENSG00000117751,ENSG00000172531,Q12972,P62136
ENSG00000117751,ENSG00000186298,Q12972,P36873
ENSG00000118503,ENSG00000118503,P21580,P21580
ENSG00000118503,ENSG00000127191,P21580,Q12933
ENSG00000118503,ENSG00000145901,P21580,Q15025
ENSG00000118526,ENSG00000140262,O43680,Q99081
ENSG00000118971,ENSG00000124762,P30279,P38936
ENSG00000119318,ENSG00000150991,P54727,P0CG48
ENSG00000119318,ENSG00000151092,P54727,Q96IV0
ENSG00000119318,ENSG00000159352,P54727,P55036
ENSG00000119401,ENSG00000119401,Q13049,Q13049
ENSG00000119401,ENSG00000244687,Q13049,Q13404
ENSG00000119729,ENSG00000124171,P17081,Q9BYG5
ENSG00000119917,ENSG00000119917,O14879,O14879
ENSG00000119938,ENSG00000172531,Q9UQK1,P62136
ENSG00000119938,ENSG00000186298,Q9UQK1,P36873
ENSG00000119950,ENSG00000125952,P50539,P61244
ENSG00000120693,ENSG00000174106,O15198,Q9Y2U8
ENSG00000120699,ENSG00000171311,Q96B26,Q9Y3B2
ENSG00000120896,ENSG00000180370,O60504,Q13177
ENSG00000120896,ENSG00000274211,O60504,O14512
